wow;love;sentimentPreprocessRuntime;angry;sad;message;kerasPreprocessed;flinkClassifyRecievedAt;id;flinkPreprocesEnd;kafkaCreatedTime;sentimentClassifyRuntime;flinkPreprocesRecievedAt;flinkClassifyEnd;sentiment;haha
29;1169;2169850;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:26.210;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.201;2017-12-01T15:50:25.602099;27557836;2017-12-01T14:50:26.199;2017-12-01T14:50:26.238;1.5;136
29;1169;1184613;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:26.238;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.203;2017-12-01T15:50:25.602239;28076690;2017-12-01T14:50:26.202;2017-12-01T14:50:26.267;1.5;136
29;1169;1183158;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:26.267;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.205;2017-12-01T15:50:25.602280;28778443;2017-12-01T14:50:26.203;2017-12-01T14:50:26.296;1.5;136
29;1169;1187334;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:26.296;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.206;2017-12-01T15:50:25.602311;26099654;2017-12-01T14:50:26.205;2017-12-01T14:50:26.322;1.5;136
29;1169;1204706;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:26.322;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.208;2017-12-01T15:50:25.602341;23261732;2017-12-01T14:50:26.206;2017-12-01T14:50:26.346;1.5;136
29;1169;1206757;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:26.346;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.209;2017-12-01T15:50:25.602370;25790707;2017-12-01T14:50:26.208;2017-12-01T14:50:26.372;1.5;136
29;1169;1189069;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:26.372;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.211;2017-12-01T15:50:25.602402;24667183;2017-12-01T14:50:26.210;2017-12-01T14:50:26.397;1.5;136
29;1169;1209042;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:26.397;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.212;2017-12-01T15:50:25.602431;24473026;2017-12-01T14:50:26.211;2017-12-01T14:50:26.421;1.5;136
29;1169;1212797;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:26.422;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.214;2017-12-01T15:50:25.602462;24377249;2017-12-01T14:50:26.213;2017-12-01T14:50:26.446;1.5;136
29;1169;1178264;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:26.446;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.215;2017-12-01T15:50:25.602491;39424018;2017-12-01T14:50:26.214;2017-12-01T14:50:26.486;1.5;136
